-1.334046305574413185e-03,-1.059360850682954151e+03
-1.212769368704011809e-03,-1.059360850682954151e+03
-1.000000000000000021e-03,-1.027953125729965905e+03
-5.000000000000000104e-04,-8.972185822694186754e+02
-2.500000000000000052e-04,-5.756356851982390026e+02
0.000000000000000000e+00,-3.320360276438829028e-01
0.000000000000000000e+00,-3.320360276438829028e-01
2.500000000000000052e-04,4.640966781822595522e+02
5.000000000000000104e-04,7.004458636906761058e+02
6.250000000000001214e-04,7.379971918342710069e+02
7.500000000000001240e-04,7.705742476596105917e+02
8.750000000000001266e-04,8.005425286907707232e+02
1.125000000000000132e-03,8.387632458903458428e+02
1.375000000000000137e-03,8.574860904945563789e+02
1.625000000000000142e-03,8.740485944934815734e+02
1.875000000000000364e-03,8.894152582663174371e+02
2.375000000000000375e-03,9.182288863047386940e+02
2.434790937180849029e-03,9.215666288722985655e+02
2.678270030898933975e-03,9.215666288722985655e+02
