-3.434154100862359116e-02;-8.217957212146717438e+02
-2.559999999999999776e-02;-8.166809460728142085e+02
-1.279999999999999888e-02;-7.765759191143924909e+02
-6.399999999999999439e-03;-7.291774760926074350e+02
-3.199999999999999720e-03;-5.674487376331010182e+02
-1.599999999999999860e-03;-3.898999009076406992e+02
-7.999999999999999299e-04;-2.963453151135804546e+02
-3.999999999999999650e-04;-2.397419426106325773e+02
-1.999999999999999825e-04;-1.920565429872554262e+02
-9.999999999999999124e-05;-1.140533082236779165e+02
0.000000000000000000e+00;-2.579088178900929229e+00
0.000000000000000000e+00;-2.579088178900929229e+00
9.999999999999999124e-05;1.082752678112522489e+02
1.999999999999999825e-04;1.598027724686842816e+02
2.500000000000000052e-04;1.738023691016465193e+02
2.999999999999999737e-04;1.857061208392461253e+02
3.499999999999999964e-04;1.964396208464423239e+02
4.499999999999999877e-04;2.160481266005461407e+02
5.500000000000000331e-04;2.343956347521934731e+02
6.499999999999999702e-04;2.521074157256566934e+02
7.500000000000000156e-04;2.694657227798651888e+02
9.499999999999999981e-04;3.036152404330816807e+02
1.149999999999999981e-03;3.372125335715518872e+02
1.350000000000000071e-03;3.704881198519187251e+02
1.750000000000000036e-03;4.366054826357345746e+02
2.149999999999999568e-03;5.024637411304073566e+02
2.549999999999999750e-03;5.681835605471745794e+02
2.949999999999999498e-03;6.336107866670223530e+02
3.749999999999999861e-03;7.635950195384357357e+02
4.549999999999999357e-03;8.527278210498359385e+02
5.349999999999999721e-03;9.160268318395160350e+02
6.949999999999999581e-03;9.490396523508381961e+02
8.550000000000000308e-03;9.693267728367462723e+02
1.014999999999999930e-02;9.883883888303822687e+02
1.175000000000000003e-02;1.004680962410282405e+03
1.494999999999999975e-02;1.032341151778265157e+03
1.564834523127444504e-02;1.038157952365718302e+03
